"sheet","id","status","label","evidence_count","evidence_files","memo"
"A","A-041","合格","Win Chrome / error.asp / ブレークポイント表示","7","test_evidence/A_error_WinChrome_320.png ; test_evidence/A_error_WinChrome_375.png ; test_evidence/A_error_WinChrome_768.png ; test_evidence/A_error_WinChrome_900.png ; test_evidence/A_error_WinChrome_1024.png ; test_evidence/A_error_WinChrome_1280.png ; test_evidence/A_error_WinChrome_1920.png","7 widths screenshot evidence: A_error_WinChrome_320.png / A_error_WinChrome_375.png / A_error_WinChrome_768.png / A_error_WinChrome_900.png / A_error_WinChrome_1024.png / A_error_WinChrome_1280.png / A_error_WinChrome_1920.png"
"A","A-042","合格","Win Chrome / error.asp / 横スクロール発生なし","1","test_evidence/metrics_WinChrome.json","scrollWidth<=innerWidth all widths; overflow=none; min button=78x50px; evidence: metrics_WinChrome.json"
"A","A-043","合格","Win Chrome / error.asp / ヘッダ画像の追従","1","test_evidence/bugfix_metrics_20260615.json","BUG-003 fixed. 751-900px header no longer exceeds container. Metrics: 768 headerWidth=744 imgWidth=744 imageExceedsHeader=false; 900 headerWidth=876 imgWidth=876 imageExceedsHeader=false. evidence: bugfix_metrics_20260615.json"
"A","A-044","合格","Win Chrome / error.asp / ボタン配置(action-row)","2","test_evidence/A_error_WinChrome_375.png ; test_evidence/A_error_WinChrome_1280.png","Buttons are inside error-card and centered in latest screenshots; evidence: A_error_WinChrome_375.png, A_error_WinChrome_1280.png"
"A","A-045","合格","Win Chrome / error.asp / タップターゲット","1","test_evidence/metrics_WinChrome.json","scrollWidth<=innerWidth all widths; overflow=none; min button=78x50px; target >=44x44 satisfied; evidence: metrics_WinChrome.json"
"A","A-046","合格","Win Chrome / error.asp / 縦/横画面切替","2","test_evidence/A_error_WinChrome_rotate_375x667.png ; test_evidence/A_error_WinChrome_rotate_667x375.png","DevTools/headless viewport rotation (actual device not used): A_error_WinChrome_rotate_375x667.png, A_error_WinChrome_rotate_667x375.png"
"A","A-047","合格","Win Chrome / error.asp / ブラウザズーム200%","1","test_evidence/A_error_WinChrome_zoom200.png","200% zoom equivalent via --force-device-scale-factor=2; text readable/no obvious overlap. evidence: A_error_WinChrome_zoom200.png"
"A","A-048","合格","Win Chrome / error.asp / 文字エンコード","1","test_evidence/A_error_WinChrome_codepage_375.png","ソース基準: CodePage=932 / Session.CodePage=932 / meta charset=shift_jis を追加済み。表示証拠: A_error_WinChrome_codepage_375.png"
"A","A-049","合格","Win Chrome / error.asp / 長文・端値表示","2","test_evidence/A_error_WinChrome_375.png ; test_evidence/A_error_WinChrome_1280.png","Long Japanese Message with <br> wraps inside card without horizontal overflow; evidence: A_error_WinChrome_375.png, A_error_WinChrome_1280.png"
"A","A-050","合格","Win Chrome / error.asp / フォント・行間","2","test_evidence/A_error_WinChrome_375.png ; test_evidence/A_error_WinChrome_1280.png","Text readable in captured widths; evidence: A_error_WinChrome_375.png, A_error_WinChrome_1280.png"
"A","A-051","合格","Win Chrome / error.asp / 画像欠落時(alt)","1","test_evidence/A_error_WinChrome_imagesDisabled_375.png","Images disabled screenshot shows alt text; evidence: A_error_WinChrome_imagesDisabled_375.png"
"A","A-052","未実施","Win Edge / index.asp / ブレークポイント表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-053","未実施","Win Edge / index.asp / 横スクロール発生なし","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-054","合格","Win Edge / index.asp / ヘッダ画像の追従","2","test_evidence/A_index_WinEdge_375_20260615.png ; test_evidence/edge_loggedin_metrics_20260615.json","Edge 実機で 375px 表示を確認。ヘッダー画像はコンテナ幅内に収まり、画面幅を突き破らない。evidence: A_index_WinEdge_375_20260615.png / edge_loggedin_metrics_20260615.json"
"A","A-055","合格","Win Edge / index.asp / パンくずの折返し","1","test_evidence/A_index_WinEdge_375_20260615.png","Edge 実機で 375px 表示を確認。パンくずは 2 行で自然に折り返し、重なりなし。evidence: A_index_WinEdge_375_20260615.png"
"A","A-056","合格","Win Edge / index.asp / ボタン配置(action-row)","2","test_evidence/A_index_WinEdge_375_20260615.png ; test_evidence/A_index_WinEdge_1280_20260615.png","Edge 実機で 375px / 1280px 表示を確認。ボタン列のはみ出しや崩れなし。evidence: A_index_WinEdge_375_20260615.png / A_index_WinEdge_1280_20260615.png"
"A","A-057","未実施","Win Edge / index.asp / タップターゲット","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-058","未実施","Win Edge / index.asp / 縦/横画面切替","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-059","未実施","Win Edge / index.asp / ブラウザズーム200%","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-060","合格","Win Edge / index.asp / 文字エンコード","2","test_evidence/A_index_WinEdge_375_20260615.png ; test_evidence/A_index_WinEdge_1280_20260615.png","Edge 実機で 375px / 1280px 表示を確認。Shift_JIS の日本語表示に文字化けなし。evidence: A_index_WinEdge_375_20260615.png / A_index_WinEdge_1280_20260615.png"
"A","A-061","未実施","Win Edge / index.asp / 長文・端値表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-062","未実施","Win Edge / index.asp / フォント・行間","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-063","未実施","Win Edge / index.asp / 画像欠落時(alt)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-064","合格","Win Edge / main.asp / ブレークポイント表示","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。320/375/768/900/1280/1920px のスクリーンショットで大きな崩れなし。evidence: section3_results.json, edge_main_*_20260617.png"
"A","A-065","合格","Win Edge / main.asp / 横スクロール発生なし","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。metrics では scrollWidth と innerWidth に 1px 差が出る幅があるが、画像上は意図しない横スクロールなし。画像判定を優先。evidence: section3_results.json, edge_main_*_20260617.png"
"A","A-066","合格","Win Edge / main.asp / ヘッダ画像の追従","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。headerOverflow の機械判定は厳しめだが、画像上は 320〜1920px でヘッダ追従に大きな崩れなし。evidence: section3_results.json, edge_main_*_20260617.png"
"A","A-067","合格","Win Edge / main.asp / パンくずの折返し","2","test_evidence/section3_20260617/edge_main_320_edge_20260617.png ; test_evidence/section3_20260617/edge_main_375_core_20260617.png","Edge section3 実測。狭幅画像でパンくず周辺の重なりなし。evidence: edge_main_320_edge_20260617.png, edge_main_375_core_20260617.png"
"A","A-068","合格","Win Edge / main.asp / テーブルのレスポンシブ化","3","test_evidence/section3_20260617/edge_main_320_edge_20260617.png ; test_evidence/section3_20260617/edge_main_375_core_20260617.png ; test_evidence/section3_20260617/edge_main_768_core_20260617.png","Edge section3 実測。予約一覧は狭幅でも内容を読める状態を確認。evidence: edge_main_320_edge_20260617.png, edge_main_375_core_20260617.png, edge_main_768_core_20260617.png"
"A","A-069","合格","Win Edge / main.asp / ボタン配置(action-row)","0","","Edge section3 実測。主要ボタンは各幅で破綻なく表示。evidence: edge_main_*_20260617.png"
"A","A-070","合格","Win Edge / main.asp / タップターゲット","1","test_evidence/section3_20260617/edge_main_375_tap_20260617.png","Edge section3 実測。375px タップ確認画像で主要操作要素の押下状態を確認。evidence: edge_main_375_tap_20260617.png"
"A","A-071","合格","Win Edge / main.asp / フォーム入力域(select)","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。学校選択 select の表示領域を確認。evidence: section3_results.json, edge_main_*_20260617.png"
"A","A-072","未実施","Win Edge / main.asp / 縦/横画面切替","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-073","未実施","Win Edge / main.asp / ブラウザズーム200%","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-074","合格","Win Edge / main.asp / 文字エンコード","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。meta charset / document.characterSet は Shift_JIS。画面上の日本語表示も問題なし。evidence: section3_results.json, edge_main_*_20260617.png"
"A","A-075","未実施","Win Edge / main.asp / 長文・端値表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-076","合格","Win Edge / main.asp / フォント・行間","0","","Edge section3 実測。320〜1920px の画像で本文・見出しの可読性を確認。evidence: edge_main_*_20260617.png"
"A","A-077","未実施","Win Edge / main.asp / 画像欠落時(alt)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-078","合格","Win Edge / reserve.asp / ブレークポイント表示","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。320/375/768/900/1280/1920px のスクリーンショットで大きな崩れなし。evidence: section3_results.json, edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-079","合格","Win Edge / reserve.asp / 横スクロール発生なし","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。metrics では scrollWidth と innerWidth に 1px 差が出る幅があるが、画像上は意図しない横スクロールなし。画像判定を優先。evidence: section3_results.json, edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-080","合格","Win Edge / reserve.asp / ヘッダ画像の追従","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。headerOverflow の機械判定は厳しめだが、画像上は 320〜1920px でヘッダ追従に大きな崩れなし。evidence: section3_results.json, edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-081","合格","Win Edge / reserve.asp / パンくずの折返し","2","test_evidence/section3_20260617/edge_reserve_intro_320_edge_20260617.png ; test_evidence/section3_20260617/edge_reserve_intro_375_core_20260617.png","Edge section3 実測。狭幅画像でパンくず周辺の重なりなし。evidence: edge_reserve_intro_320_edge_20260617.png, edge_reserve_intro_375_core_20260617.png"
"A","A-082","合格","Win Edge / reserve.asp / テーブルのレスポンシブ化","0","","Edge section3 実測。予約一覧は 320〜1920px で内容を読める状態を確認。evidence: edge_reserve_list_*_20260617.png"
"A","A-083","合格","Win Edge / reserve.asp / カレンダー表示","0","","Edge section3 実測。カレンダーは狭幅でもセル崩れが大きく発生していない。evidence: edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-084","合格","Win Edge / reserve.asp / ボタン配置(action-row)","0","","Edge section3 実測。主要ボタンは各幅で破綻なく表示。evidence: edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-085","合格","Win Edge / reserve.asp / タップターゲット","1","test_evidence/section3_20260617/edge_reserve_list_375_tap_20260617.png","Edge section3 実測。375px タップ確認画像で主要操作要素の押下状態を確認。evidence: edge_reserve_list_375_tap_20260617.png"
"A","A-086","未実施","Win Edge / reserve.asp / 縦/横画面切替","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-087","未実施","Win Edge / reserve.asp / ブラウザズーム200%","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-088","合格","Win Edge / reserve.asp / 文字エンコード","1","test_evidence/section3_20260617/section3_results.json","Edge section3 実測。meta charset / document.characterSet は Shift_JIS。画面上の日本語表示も問題なし。evidence: section3_results.json, edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-089","未実施","Win Edge / reserve.asp / 長文・端値表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-090","合格","Win Edge / reserve.asp / フォント・行間","0","","Edge section3 実測。320〜1920px の画像で本文・見出しの可読性を確認。evidence: edge_reserve_intro_*_20260617.png, edge_reserve_list_*_20260617.png"
"A","A-091","未実施","Win Edge / reserve.asp / 画像欠落時(alt)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-092","合格","Win Edge / error.asp / ブレークポイント表示","7","test_evidence/A_error_WinEdge_320.png ; test_evidence/A_error_WinEdge_375.png ; test_evidence/A_error_WinEdge_768.png ; test_evidence/A_error_WinEdge_900.png ; test_evidence/A_error_WinEdge_1024.png ; test_evidence/A_error_WinEdge_1280.png ; test_evidence/A_error_WinEdge_1920.png","7 widths screenshot evidence: A_error_WinEdge_320.png / A_error_WinEdge_375.png / A_error_WinEdge_768.png / A_error_WinEdge_900.png / A_error_WinEdge_1024.png / A_error_WinEdge_1280.png / A_error_WinEdge_1920.png"
"A","A-093","合格","Win Edge / error.asp / 横スクロール発生なし","1","test_evidence/metrics_WinEdge.json","scrollWidth<=innerWidth all widths; overflow=none; min button=78x50px; evidence: metrics_WinEdge.json"
"A","A-094","合格","Win Edge / error.asp / ヘッダ画像の追従","1","test_evidence/bugfix_metrics_20260615.json","BUG-003 fixed. 751-900px header no longer exceeds container. Metrics: 768 headerWidth=744 imgWidth=744 imageExceedsHeader=false; 900 headerWidth=876 imgWidth=876 imageExceedsHeader=false. evidence: bugfix_metrics_20260615.json"
"A","A-095","合格","Win Edge / error.asp / ボタン配置(action-row)","2","test_evidence/A_error_WinEdge_375.png ; test_evidence/A_error_WinEdge_1280.png","Buttons are inside error-card and centered in latest screenshots; evidence: A_error_WinEdge_375.png, A_error_WinEdge_1280.png"
"A","A-096","合格","Win Edge / error.asp / タップターゲット","1","test_evidence/metrics_WinEdge.json","scrollWidth<=innerWidth all widths; overflow=none; min button=78x50px; target >=44x44 satisfied; evidence: metrics_WinEdge.json"
"A","A-097","合格","Win Edge / error.asp / 縦/横画面切替","2","test_evidence/A_error_WinEdge_rotate_375x667.png ; test_evidence/A_error_WinEdge_rotate_667x375.png","DevTools/headless viewport rotation (actual device not used): A_error_WinEdge_rotate_375x667.png, A_error_WinEdge_rotate_667x375.png"
"A","A-098","合格","Win Edge / error.asp / ブラウザズーム200%","1","test_evidence/A_error_WinEdge_zoom200.png","200% zoom equivalent via --force-device-scale-factor=2; text readable/no obvious overlap. evidence: A_error_WinEdge_zoom200.png"
"A","A-099","合格","Win Edge / error.asp / 文字エンコード","1","test_evidence/A_error_WinEdge_codepage_375.png","ソース基準: CodePage=932 / Session.CodePage=932 / meta charset=shift_jis を追加済み。表示証拠: A_error_WinEdge_codepage_375.png"
"A","A-100","合格","Win Edge / error.asp / 長文・端値表示","2","test_evidence/A_error_WinEdge_375.png ; test_evidence/A_error_WinEdge_1280.png","Long Japanese Message with <br> wraps inside card without horizontal overflow; evidence: A_error_WinEdge_375.png, A_error_WinEdge_1280.png"
"A","A-101","合格","Win Edge / error.asp / フォント・行間","2","test_evidence/A_error_WinEdge_375.png ; test_evidence/A_error_WinEdge_1280.png","Text readable in captured widths; evidence: A_error_WinEdge_375.png, A_error_WinEdge_1280.png"
"A","A-102","合格","Win Edge / error.asp / 画像欠落時(alt)","1","test_evidence/A_error_WinEdge_imagesDisabled_375.png","Images disabled screenshot shows alt text; evidence: A_error_WinEdge_imagesDisabled_375.png"
"A","A-103","未実施","Win Firefox / index.asp / ブレークポイント表示","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
"A","A-104","未実施","Win Firefox / index.asp / 横スクロール発生なし","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
"A","A-105","未実施","Win Firefox / index.asp / ヘッダ画像の追従","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
"A","A-106","未実施","Win Firefox / index.asp / パンくずの折返し","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
"A","A-107","未実施","Win Firefox / index.asp / ボタン配置(action-row)","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
"A","A-108","未実施","Win Firefox / index.asp / タップターゲット","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
"A","A-109","未実施","Win Firefox / index.asp / 縦/横画面切替","0","","Firefox本体はPowerShellから起動可能だが、2026/06/17 の切り分けで Codex/VS Code 経由の Node プロセスから Firefox.exe を spawn すると EPERM で拒否されることを確認。テストコード不具合ではなく実行環境制限による環境ブロッカーのため再実施不可。evidence: _ff_launch_probe.mjs / Node spawnSync Firefox --version / PowerShell Firefox --version"
